date,population,status,exceedance
01/01/2026,55.0,N,N
02/01/2026,45.0,N,N
03/01/2026,47.0,N,N
04/01/2026,30.0,N,N
05/01/2026,25.0,N,N
06/01/2026,30.0,N,N
07/01/2026,41.0,N,N
08/01/2026,23.0,N,N
09/01/2026,39.0,N,N
10/01/2026,14.0,N,N
11/01/2026,48.0,N,N
12/01/2026,43.0,N,N
13/01/2026,29.0,N,N
14/01/2026,19.0,N,N
15/01/2026,27.0,N,N
16/01/2026,26.0,N,N
17/01/2026,28.0,N,N
18/01/2026,11.0,N,N
19/01/2026,7.0,N,N
20/01/2026,50.0,N,N
21/01/2026,48.0,N,N
22/01/2026,30.0,N,N
23/01/2026,52.0,N,N
24/01/2026,57.0,N,N
25/01/2026,43.0,N,N
26/01/2026,27.0,N,N
27/01/2026,46.0,N,N
28/01/2026,16.0,N,N
29/01/2026,22.0,N,N
30/01/2026,43.0,N,N
31/01/2026,46.0,N,N
01/02/2026,0,N,N
02/02/2026,0,N,N
03/02/2026,0,N,N
04/02/2026,0,N,N
05/02/2026,0,N,N
06/02/2026,0,N,N
