date,population,status,exceedance
2026-01-30T11:00:00,41.018,P,N
2026-01-30T12:00:00,34.365,P,N
2026-01-30T13:00:00,35.025,P,N
2026-01-30T14:00:00,34.035,P,N
2026-01-30T15:00:00,26.173,P,N
2026-01-30T16:00:00,26.283,P,N
2026-01-30T17:00:00,26.338,P,N
2026-01-30T18:00:00,27.602,P,N
2026-01-30T19:00:00,20.839,P,N
2026-01-30T20:00:00,19.190,P,N
2026-01-30T21:00:00,25.898,P,N
2026-01-30T22:00:00,17.925,P,N
2026-01-30T23:00:00,13.471,P,N
2026-01-31T00:00:00,17.668,P,N
2026-01-31T01:00:00,13.856,P,N
2026-01-31T02:00:00,11.492,P,N
2026-01-31T03:00:00,10.942,P,N
2026-01-31T04:00:00,11.877,P,N
2026-01-31T05:00:00,14.901,P,N
2026-01-31T06:00:00,25.953,P,N
2026-01-31T07:00:00,34.090,P,N
2026-01-31T08:00:00,29.857,P,N
2026-01-31T09:00:00,30.131,P,N
2026-01-31T10:00:00,258.537,P,Y
2026-01-31T11:00:00,33.101,P,N

