date,population,status,exceedance
2026-01-24T00:00:00,57.277,P,N
2026-01-24T01:00:00,64.528,P,N
2026-01-24T02:00:00,64.561,P,N
2026-01-24T03:00:00,65.559,P,N
2026-01-24T04:00:00,65.559,P,N
2026-01-24T05:00:00,66.108,P,N
2026-01-24T06:00:00,64.860,P,N
2026-01-24T07:00:00,64.461,P,N
2026-01-24T08:00:00,64.262,P,N
2026-01-24T09:00:00,59.871,P,N
2026-01-24T10:00:00,55.480,P,N
2026-01-24T11:00:00,55.730,P,N
2026-01-24T12:00:00,56.927,P,N
2026-01-24T13:00:00,57.825,P,N
2026-01-24T14:00:00,57.726,P,N
2026-01-24T15:00:00,60.021,P,N
2026-01-24T16:00:00,57.376,P,N
2026-01-24T17:00:00,46.500,P,N
2026-01-24T18:00:00,46.051,P,N
2026-01-24T19:00:00,45.552,P,N
2026-01-24T20:00:00,48.046,P,N
2026-01-24T21:00:00,43.905,P,N
2026-01-24T22:00:00,38.317,P,N
2026-01-24T23:00:00,56.528,P,N
2026-01-25T00:00:00,63.064,P,N
2026-01-25T01:00:00,65.725,P,N
2026-01-25T02:00:00,69.400,P,N
2026-01-25T03:00:00,59.921,P,N
2026-01-25T04:00:00,53.634,P,N
2026-01-25T05:00:00,51.589,P,N
2026-01-25T06:00:00,50.491,P,N
2026-01-25T07:00:00,42.957,P,N
2026-01-25T08:00:00,52.237,P,N
2026-01-25T09:00:00,47.099,P,N
2026-01-25T10:00:00,43.706,P,N
2026-01-25T11:00:00,42.459,P,N
2026-01-25T12:00:00,41.361,P,N
2026-01-25T13:00:00,41.311,P,N
2026-01-25T14:00:00,37.918,P,N
2026-01-25T15:00:00,34.775,P,N
2026-01-25T16:00:00,35.174,P,N
2026-01-25T17:00:00,37.868,P,N
2026-01-25T18:00:00,37.819,P,N
2026-01-25T19:00:00,34.526,P,N
2026-01-25T20:00:00,26.443,P,N
2026-01-25T21:00:00,19.009,P,N
2026-01-25T22:00:00,20.805,P,N
2026-01-25T23:00:00,27.191,P,N
2026-01-26T00:00:00,28.871,P,N
2026-01-26T01:00:00,35.923,P,N
2026-01-26T02:00:00,39.465,P,N
2026-01-26T03:00:00,41.760,P,N
2026-01-26T04:00:00,40.014,P,N
2026-01-26T05:00:00,32.979,P,N
2026-01-26T06:00:00,31.782,P,N
2026-01-26T07:00:00,27.740,P,N
2026-01-26T08:00:00,27.241,P,N
2026-01-26T09:00:00,19.358,P,N
2026-01-26T10:00:00,23.499,P,N
2026-01-26T11:00:00,26.643,P,N
2026-01-26T12:00:00,25.196,P,N
2026-01-26T13:00:00,24.547,P,N
2026-01-26T14:00:00,25.096,P,N
2026-01-26T15:00:00,19.658,P,N
2026-01-26T16:00:00,20.057,P,N
2026-01-26T17:00:00,18.809,P,N
2026-01-26T18:00:00,18.261,P,N
2026-01-26T19:00:00,20.506,P,N
2026-01-26T20:00:00,18.360,P,N
2026-01-26T21:00:00,20.705,P,N
2026-01-26T22:00:00,20.556,P,N
2026-01-26T23:00:00,32.280,P,N
2026-01-27T00:00:00,31.199,P,N
2026-01-27T01:00:00,27.674,P,N
2026-01-27T02:00:00,32.680,P,N
2026-01-27T03:00:00,37.519,P,N
2026-01-27T04:00:00,42.259,P,N
2026-01-27T05:00:00,49.743,P,N
2026-01-27T06:00:00,55.081,P,N
2026-01-27T07:00:00,51.639,P,N
2026-01-27T08:00:00,42.159,P,N
2026-01-27T09:00:00,40.812,P,N
2026-01-27T10:00:00,43.756,P,N
2026-01-27T11:00:00,35.972,P,N
2026-01-27T12:00:00,33.628,P,N
2026-01-27T13:00:00,42.409,P,N
2026-01-27T14:00:00,60.569,P,N
2026-01-27T15:00:00,67.105,P,N
2026-01-27T16:00:00,59.871,P,N
2026-01-27T17:00:00,61.667,P,N
2026-01-27T18:00:00,61.418,P,N
2026-01-27T19:00:00,56.279,P,N
2026-01-27T20:00:00,40.563,P,N
2026-01-27T21:00:00,36.022,P,N
2026-01-27T22:00:00,45.003,P,N
2026-01-27T23:00:00,49.843,P,N
2026-01-28T00:00:00,47.365,P,N
2026-01-28T01:00:00,53.884,P,N
2026-01-28T02:00:00,38.467,P,N
2026-01-28T03:00:00,35.573,P,N
2026-01-28T04:00:00,6.785,P,N
2026-01-28T05:00:00,0.150,P,N
2026-01-28T06:00:00,0.200,P,N
2026-01-28T07:00:00,0.349,P,N
2026-01-28T08:00:00,0.499,P,N
2026-01-28T09:00:00,3.343,P,N
2026-01-28T10:00:00,8.881,P,N
2026-01-28T11:00:00,16.465,P,N
2026-01-28T12:00:00,0.000,P,N
2026-01-28T13:00:00,30.285,P,N
2026-01-28T14:00:00,39.166,P,N
2026-01-28T15:00:00,40.064,P,N
2026-01-28T16:00:00,23.799,P,N
2026-01-28T17:00:00,18.809,P,N
2026-01-28T18:00:00,2.644,P,N
2026-01-28T19:00:00,0.349,P,N
2026-01-28T20:00:00,0.050,P,N
2026-01-28T21:00:00,0.150,P,N
2026-01-28T22:00:00,0.848,P,N
2026-01-28T23:00:00,1.148,P,N
2026-01-29T00:00:00,0.333,P,N
2026-01-29T01:00:00,0.133,P,N
2026-01-29T02:00:00,0.150,P,N
2026-01-29T03:00:00,12.074,P,N
2026-01-29T04:00:00,5.338,P,N
2026-01-29T05:00:00,11.226,P,N
2026-01-29T06:00:00,10.827,P,N
2026-01-29T07:00:00,17.213,P,N
2026-01-29T08:00:00,27.142,P,N
2026-01-29T09:00:00,32.630,P,N
2026-01-29T10:00:00,34.725,P,N
2026-01-29T11:00:00,33.478,P,N
2026-01-29T12:00:00,35.474,P,N
2026-01-29T13:00:00,24.846,P,N
2026-01-29T14:00:00,27.890,P,N
2026-01-29T15:00:00,24.697,P,N
2026-01-29T16:00:00,22.601,P,N
2026-01-29T17:00:00,21.454,P,N
2026-01-29T18:00:00,24.098,P,N
2026-01-29T19:00:00,27.241,P,N
2026-01-29T20:00:00,31.382,P,N
2026-01-29T21:00:00,30.634,P,N
2026-01-29T22:00:00,31.682,P,N
2026-01-29T23:00:00,34.725,P,N
2026-01-30T00:00:00,38.051,P,N
2026-01-30T01:00:00,34.925,P,N
2026-01-30T02:00:00,42.858,P,N
2026-01-30T03:00:00,45.452,P,N
2026-01-30T04:00:00,44.155,P,N
2026-01-30T05:00:00,42.209,P,N
2026-01-30T06:00:00,27.092,P,N
2026-01-30T07:00:00,20.705,P,N
2026-01-30T08:00:00,17.313,P,N
2026-01-30T09:00:00,15.666,P,N
2026-01-30T10:00:00,19.658,P,N
2026-01-30T11:00:00,23.699,P,N
2026-01-30T12:00:00,41.261,P,N
2026-01-30T13:00:00,41.411,P,N
2026-01-30T14:00:00,46.799,P,N
2026-01-30T15:00:00,52.886,P,N
2026-01-30T16:00:00,51.140,P,N
2026-01-30T17:00:00,53.086,P,N
2026-01-30T18:00:00,50.691,P,N
2026-01-30T19:00:00,55.780,P,N
2026-01-30T20:00:00,54.283,P,N
2026-01-30T21:00:00,51.788,P,N
2026-01-30T22:00:00,74.739,P,N
2026-01-30T23:00:00,75.487,P,N
2026-01-31T00:00:00,74.240,P,N
2026-01-31T01:00:00,75.437,P,N
2026-01-31T02:00:00,72.793,P,N
2026-01-31T03:00:00,67.455,P,N
2026-01-31T04:00:00,64.361,P,N
2026-01-31T05:00:00,61.118,P,N
2026-01-31T06:00:00,49.493,P,N
2026-01-31T07:00:00,40.962,P,N
2026-01-31T08:00:00,43.656,P,N
2026-01-31T09:00:00,44.803,P,N
2026-01-31T10:00:00,52.936,P,N
2026-01-31T11:00:00,53.086,P,N
2026-01-31T12:00:00,45.003,P,N
2026-01-31T13:00:00,46.600,P,N
2026-01-31T14:00:00,39.216,P,N
2026-01-31T15:00:00,42.209,P,N
2026-01-31T16:00:00,27.142,P,N
2026-01-31T17:00:00,32.380,P,N
2026-01-31T18:00:00,30.484,P,N
