date,population,status,exceedance
2026-01-24T00:00:00,7.750,P,N
2026-01-24T01:00:00,7.400,P,N
2026-01-24T02:00:00,7.850,P,N
2026-01-24T03:00:00,6.850,P,N
2026-01-24T04:00:00,7.575,P,N
2026-01-24T05:00:00,7.950,P,N
2026-01-24T06:00:00,8.125,P,N
2026-01-24T07:00:00,10.175,P,N
2026-01-24T08:00:00,11.350,P,N
2026-01-24T09:00:00,13.725,P,N
2026-01-24T10:00:00,13.675,P,N
2026-01-24T11:00:00,12.525,P,N
2026-01-24T12:00:00,12.675,P,N
2026-01-24T13:00:00,13.450,P,N
2026-01-24T14:00:00,10.525,P,N
2026-01-24T15:00:00,10.475,P,N
2026-01-24T16:00:00,10.500,P,N
2026-01-24T17:00:00,9.200,P,N
2026-01-24T18:00:00,9.025,P,N
2026-01-24T19:00:00,8.000,P,N
2026-01-24T20:00:00,8.450,P,N
2026-01-24T21:00:00,9.550,P,N
2026-01-24T22:00:00,7.475,P,N
2026-01-24T23:00:00,4.400,P,N
2026-01-25T00:00:00,3.175,P,N
2026-01-25T01:00:00,2.700,P,N
2026-01-25T02:00:00,1.875,P,N
2026-01-25T03:00:00,1.675,P,N
2026-01-25T04:00:00,3.900,P,N
2026-01-25T05:00:00,5.575,P,N
2026-01-25T06:00:00,6.300,P,N
2026-01-25T07:00:00,7.050,P,N
2026-01-25T08:00:00,7.000,P,N
2026-01-25T09:00:00,8.050,P,N
2026-01-25T10:00:00,8.925,P,N
2026-01-25T11:00:00,11.350,P,N
2026-01-25T12:00:00,8.900,P,N
2026-01-25T13:00:00,9.425,P,N
2026-01-25T14:00:00,12.200,P,N
2026-01-25T15:00:00,12.100,P,N
2026-01-25T16:00:00,15.675,P,N
2026-01-25T17:00:00,18.025,P,N
2026-01-25T18:00:00,17.475,P,N
2026-01-25T19:00:00,17.875,P,N
2026-01-25T20:00:00,21.925,P,N
2026-01-25T21:00:00,29.625,P,N
2026-01-25T22:00:00,31.750,P,N
2026-01-25T23:00:00,39.775,P,N
2026-01-26T00:00:00,42.175,P,N
2026-01-26T01:00:00,35.050,P,N
2026-01-26T02:00:00,33.250,P,N
2026-01-26T03:00:00,35.075,P,N
2026-01-26T04:00:00,37.975,P,N
2026-01-26T05:00:00,38.550,P,N
2026-01-26T06:00:00,42.425,P,N
2026-01-26T07:00:00,41.150,P,N
2026-01-26T08:00:00,44.125,P,N
2026-01-26T09:00:00,48.700,P,N
2026-01-26T10:00:00,48.575,P,N
2026-01-26T11:00:00,38.425,P,N
2026-01-26T12:00:00,35.350,P,N
2026-01-26T13:00:00,36.050,P,N
2026-01-26T14:00:00,34.275,P,N
2026-01-26T15:00:00,35.125,P,N
2026-01-26T16:00:00,34.325,P,N
2026-01-26T17:00:00,32.475,P,N
2026-01-26T18:00:00,31.175,P,N
2026-01-26T19:00:00,35.275,P,N
2026-01-26T20:00:00,40.750,P,N
2026-01-26T21:00:00,41.475,P,N
2026-01-26T22:00:00,39.400,P,N
2026-01-26T23:00:00,31.325,P,N
2026-01-27T00:00:00,32.675,P,N
2026-01-27T01:00:00,27.250,P,N
2026-01-27T02:00:00,17.675,P,N
2026-01-27T03:00:00,15.475,P,N
2026-01-27T04:00:00,12.525,P,N
2026-01-27T05:00:00,9.125,P,N
2026-01-27T06:00:00,6.075,P,N
2026-01-27T07:00:00,3.950,P,N
2026-01-27T08:00:00,3.000,P,N
2026-01-27T09:00:00,2.675,P,N
2026-01-27T10:00:00,2.700,P,N
2026-01-27T11:00:00,3.025,P,N
2026-01-27T12:00:00,3.575,P,N
2026-01-27T13:00:00,4.700,P,N
2026-01-27T14:00:00,8.400,P,N
2026-01-27T15:00:00,9.250,P,N
2026-01-27T16:00:00,11.150,P,N
2026-01-27T17:00:00,7.800,P,N
2026-01-27T18:00:00,5.575,P,N
2026-01-27T19:00:00,4.700,P,N
2026-01-27T20:00:00,7.375,P,N
2026-01-27T21:00:00,11.100,P,N
2026-01-27T22:00:00,10.900,P,N
2026-01-27T23:00:00,8.825,P,N
2026-01-28T00:00:00,9.400,P,N
2026-01-28T01:00:00,8.450,P,N
2026-01-28T02:00:00,9.625,P,N
2026-01-28T03:00:00,8.175,P,N
2026-01-28T04:00:00,9.100,P,N
2026-01-28T05:00:00,8.700,P,N
2026-01-28T06:00:00,10.175,P,N
2026-01-28T07:00:00,14.025,P,N
2026-01-28T08:00:00,18.500,P,N
2026-01-28T09:00:00,26.700,P,N
2026-01-28T10:00:00,16.525,P,N
2026-01-28T11:00:00,12.425,P,N
2026-01-28T12:00:00,13.625,P,N
2026-01-28T13:00:00,11.650,P,N
2026-01-28T14:00:00,11.400,P,N
2026-01-28T15:00:00,11.625,P,N
2026-01-28T16:00:00,12.275,P,N
2026-01-28T17:00:00,14.775,P,N
2026-01-28T18:00:00,19.075,P,N
2026-01-28T19:00:00,14.575,P,N
2026-01-28T20:00:00,25.600,P,N
2026-01-28T21:00:00,22.650,P,N
2026-01-28T22:00:00,29.375,P,N
2026-01-28T23:00:00,27.075,P,N
2026-01-29T00:00:00,25.775,P,N
2026-01-29T01:00:00,23.975,P,N
2026-01-29T02:00:00,26.825,P,N
2026-01-29T03:00:00,17.425,P,N
2026-01-29T04:00:00,14.600,P,N
2026-01-29T05:00:00,10.775,P,N
2026-01-29T06:00:00,12.025,P,N
2026-01-29T07:00:00,13.200,P,N
2026-01-29T08:00:00,12.200,P,N
2026-01-29T09:00:00,12.375,P,N
2026-01-29T10:00:00,16.025,P,N
2026-01-29T11:00:00,17.525,P,N
2026-01-29T12:00:00,16.275,P,N
2026-01-29T13:00:00,20.550,P,N
2026-01-29T14:00:00,19.625,P,N
2026-01-29T15:00:00,19.200,P,N
2026-01-29T16:00:00,19.450,P,N
2026-01-29T17:00:00,20.375,P,N
2026-01-29T18:00:00,21.500,P,N
2026-01-29T19:00:00,20.425,P,N
2026-01-29T20:00:00,22.275,P,N
2026-01-29T21:00:00,21.800,P,N
2026-01-29T22:00:00,21.475,P,N
2026-01-29T23:00:00,19.375,P,N
2026-01-30T00:00:00,19.050,P,N
2026-01-30T01:00:00,17.675,P,N
2026-01-30T02:00:00,15.050,P,N
2026-01-30T03:00:00,9.550,P,N
2026-01-30T04:00:00,7.375,P,N
2026-01-30T05:00:00,7.250,P,N
2026-01-30T06:00:00,7.175,P,N
2026-01-30T07:00:00,6.775,P,N
2026-01-30T08:00:00,7.850,P,N
2026-01-30T09:00:00,8.925,P,N
2026-01-30T10:00:00,10.850,P,N
2026-01-30T11:00:00,14.000,P,N
2026-01-30T12:00:00,11.975,P,N
2026-01-30T13:00:00,11.100,P,N
2026-01-30T14:00:00,15.950,P,N
2026-01-30T15:00:00,14.700,P,N
2026-01-30T16:00:00,14.725,P,N
2026-01-30T17:00:00,16.050,P,N
2026-01-30T18:00:00,14.350,P,N
2026-01-30T19:00:00,10.700,P,N
2026-01-30T20:00:00,9.675,P,N
2026-01-30T21:00:00,7.950,P,N
2026-01-30T22:00:00,4.700,P,N
2026-01-30T23:00:00,3.450,P,N
2026-01-31T00:00:00,3.075,P,N
2026-01-31T01:00:00,2.800,P,N
2026-01-31T02:00:00,4.550,P,N
2026-01-31T03:00:00,6.350,P,N
2026-01-31T04:00:00,8.775,P,N
2026-01-31T05:00:00,12.025,P,N
2026-01-31T06:00:00,12.825,P,N
2026-01-31T07:00:00,12.275,P,N
2026-01-31T08:00:00,14.000,P,N
2026-01-31T09:00:00,12.700,P,N
2026-01-31T10:00:00,10.350,P,N
2026-01-31T11:00:00,9.950,P,N
2026-01-31T12:00:00,10.275,P,N
2026-01-31T13:00:00,9.475,P,N
2026-01-31T14:00:00,6.425,P,N
2026-01-31T15:00:00,6.150,P,N
2026-01-31T16:00:00,9.300,P,N
2026-01-31T17:00:00,7.550,P,N
2026-01-31T18:00:00,7.300,P,N
2026-01-31T19:00:00,21.500,P,N
2026-01-31T20:00:00,11.825,P,N
2026-01-31T21:00:00,11.025,P,N
2026-01-31T22:00:00,11.200,P,N
2026-01-31T23:00:00,11.650,P,N
