date,population,status,exceedance
2026-01-30T11:00:00,14.000,P,N
2026-01-30T12:00:00,11.975,P,N
2026-01-30T13:00:00,11.100,P,N
2026-01-30T14:00:00,15.950,P,N
2026-01-30T15:00:00,14.700,P,N
2026-01-30T16:00:00,14.725,P,N
2026-01-30T17:00:00,16.050,P,N
2026-01-30T18:00:00,14.350,P,N
2026-01-30T19:00:00,10.700,P,N
2026-01-30T20:00:00,9.675,P,N
2026-01-30T21:00:00,7.950,P,N
2026-01-30T22:00:00,4.700,P,N
2026-01-30T23:00:00,3.450,P,N
2026-01-31T00:00:00,3.075,P,N
2026-01-31T01:00:00,2.800,P,N
2026-01-31T02:00:00,4.550,P,N
2026-01-31T03:00:00,6.350,P,N
2026-01-31T04:00:00,8.775,P,N
2026-01-31T05:00:00,12.025,P,N
2026-01-31T06:00:00,12.825,P,N
2026-01-31T07:00:00,12.275,P,N
2026-01-31T08:00:00,14.000,P,N
2026-01-31T09:00:00,12.700,P,N
2026-01-31T10:00:00,10.350,P,N
2026-01-31T11:00:00,9.950,P,N
