date,population,status,exceedance
2025-01-01T00:00:00,39.315,V,N
2025-01-01T01:00:00,49.161,V,N
2025-01-01T02:00:00,64.611,V,N
2025-01-01T03:00:00,63.114,V,N
2025-01-01T04:00:00,67.205,V,N
2025-01-01T05:00:00,66.856,V,N
2025-01-01T06:00:00,62.465,V,N
2025-01-01T07:00:00,58.674,V,N
2025-01-01T08:00:00,46.749,V,N
2025-01-01T09:00:00,50.990,V,N
2025-01-01T10:00:00,55.580,V,N
2025-01-01T11:00:00,56.329,V,N
2025-01-01T12:00:00,60.420,V,N
2025-01-01T13:00:00,56.778,V,N
2025-01-01T14:00:00,47.348,V,N
2025-01-01T15:00:00,54.333,V,N
2025-01-01T16:00:00,62.316,V,N
2025-01-01T17:00:00,43.806,V,N
2025-01-01T18:00:00,48.545,V,N
2025-01-01T19:00:00,56.778,V,N
2025-01-01T20:00:00,57.426,V,N
2025-01-01T21:00:00,53.036,V,N
2025-01-01T22:00:00,50.342,V,N
2025-01-01T23:00:00,49.394,V,N
2025-01-02T00:00:00,54.150,V,N
2025-01-02T01:00:00,61.135,V,N
2025-01-02T02:00:00,67.505,V,N
2025-01-02T03:00:00,53.385,V,N
2025-01-02T04:00:00,49.793,V,N
2025-01-02T05:00:00,50.541,V,N
2025-01-02T06:00:00,59.871,V,N
2025-01-02T07:00:00,52.537,V,N
2025-01-02T08:00:00,46.151,V,N
2025-01-02T09:00:00,40.912,V,N
2025-01-02T10:00:00,47.448,V,N
2025-01-02T11:00:00,56.279,V,N
2025-01-02T12:00:00,52.537,V,N
2025-01-02T13:00:00,55.530,V,N
2025-01-02T14:00:00,46.699,V,N
2025-01-02T15:00:00,37.369,V,N
2025-01-02T16:00:00,31.283,V,N
2025-01-02T17:00:00,36.471,V,N
2025-01-02T18:00:00,27.640,V,N
2025-01-02T19:00:00,32.031,V,N
2025-01-02T20:00:00,27.441,V,N
2025-01-02T21:00:00,28.838,V,N
2025-01-02T22:00:00,32.430,V,N
2025-01-02T23:00:00,35.573,V,N
2025-01-03T00:00:00,49.626,V,N
2025-01-03T01:00:00,58.807,V,N
