date,population,status,exceedance
2026-01-01T00:00:00,39.315,P,N
2026-01-01T01:00:00,49.161,P,N
2026-01-01T02:00:00,64.611,P,N
2026-01-01T03:00:00,63.114,P,N
2026-01-01T04:00:00,67.205,P,N
2026-01-01T05:00:00,66.856,P,N
2026-01-01T06:00:00,62.465,P,N
2026-01-01T07:00:00,58.674,P,N
2026-01-01T08:00:00,46.749,P,N
2026-01-01T09:00:00,50.990,P,N
2026-01-01T10:00:00,55.580,P,N
2026-01-01T11:00:00,56.329,P,N
2026-01-01T12:00:00,60.420,P,N
2026-01-01T13:00:00,56.778,P,N
2026-01-01T14:00:00,47.348,P,N
2026-01-01T15:00:00,54.333,P,N
2026-01-01T16:00:00,62.316,P,N
2026-01-01T17:00:00,43.806,P,N
2026-01-01T18:00:00,48.545,P,N
2026-01-01T19:00:00,56.778,P,N
2026-01-01T20:00:00,57.426,P,N
2026-01-01T21:00:00,53.036,P,N
2026-01-01T22:00:00,50.342,P,N
2026-01-01T23:00:00,49.394,P,N
2026-01-02T00:00:00,54.150,P,N
2026-01-02T01:00:00,61.135,P,N
2026-01-02T02:00:00,67.505,P,N
2026-01-02T03:00:00,53.385,P,N
2026-01-02T04:00:00,49.793,P,N
2026-01-02T05:00:00,50.541,P,N
2026-01-02T06:00:00,59.871,P,N
2026-01-02T07:00:00,52.537,P,N
2026-01-02T08:00:00,46.151,P,N
2026-01-02T09:00:00,40.912,P,N
2026-01-02T10:00:00,47.448,P,N
2026-01-02T11:00:00,56.279,P,N
2026-01-02T12:00:00,52.537,P,N
2026-01-02T13:00:00,55.530,P,N
2026-01-02T14:00:00,46.699,P,N
2026-01-02T15:00:00,37.369,P,N
2026-01-02T16:00:00,31.283,P,N
2026-01-02T17:00:00,36.471,P,N
2026-01-02T18:00:00,27.640,P,N
2026-01-02T19:00:00,32.031,P,N
2026-01-02T20:00:00,27.441,P,N
2026-01-02T21:00:00,28.838,P,N
2026-01-02T22:00:00,32.430,P,N
2026-01-02T23:00:00,35.573,P,N
2026-01-03T00:00:00,49.626,P,N
2026-01-03T01:00:00,58.807,P,N
2026-01-03T02:00:00,52.637,P,N
2026-01-03T03:00:00,61.867,P,N
2026-01-03T04:00:00,60.869,P,N
2026-01-03T05:00:00,55.480,P,N
2026-01-03T06:00:00,49.992,P,N
2026-01-03T07:00:00,50.192,P,N
2026-01-03T08:00:00,38.417,P,N
2026-01-03T09:00:00,51.439,P,N
2026-01-03T10:00:00,59.771,P,N
2026-01-03T11:00:00,57.077,P,N
2026-01-03T12:00:00,55.131,P,N
2026-01-03T13:00:00,57.875,P,N
2026-01-03T14:00:00,55.730,P,N
2026-01-03T15:00:00,54.083,P,N
2026-01-03T16:00:00,40.114,P,N
2026-01-03T17:00:00,31.083,P,N
2026-01-03T18:00:00,40.812,P,N
2026-01-03T19:00:00,26.443,P,N
2026-01-03T20:00:00,29.786,P,N
2026-01-03T21:00:00,31.881,P,N
2026-01-03T22:00:00,29.586,P,N
2026-01-03T23:00:00,25.146,P,N
2026-01-04T00:00:00,37.652,P,N
2026-01-04T01:00:00,34.592,P,N
2026-01-04T02:00:00,31.233,P,N
2026-01-04T03:00:00,32.580,P,N
2026-01-04T04:00:00,34.476,P,N
2026-01-04T05:00:00,36.471,P,N
2026-01-04T06:00:00,17.712,P,N
2026-01-04T07:00:00,27.441,P,N
2026-01-04T08:00:00,19.757,P,N
2026-01-04T09:00:00,26.343,P,N
2026-01-04T10:00:00,40.513,P,N
2026-01-04T11:00:00,44.903,P,N
2026-01-04T12:00:00,43.656,P,N
2026-01-04T13:00:00,50.791,P,N
2026-01-04T14:00:00,49.294,P,N
2026-01-04T15:00:00,40.363,P,N
2026-01-04T16:00:00,29.786,P,N
2026-01-04T17:00:00,15.167,P,N
2026-01-04T18:00:00,9.629,P,N
2026-01-04T19:00:00,7.833,P,N
2026-01-04T20:00:00,16.764,P,N
2026-01-04T21:00:00,17.263,P,N
2026-01-04T22:00:00,26.194,P,N
2026-01-04T23:00:00,30.883,P,N
2026-01-05T00:00:00,33.993,P,N
2026-01-05T01:00:00,32.197,P,N
2026-01-05T02:00:00,44.305,P,N
2026-01-05T03:00:00,53.634,P,N
2026-01-05T04:00:00,39.365,P,N
2026-01-05T05:00:00,34.426,P,N
2026-01-05T06:00:00,8.781,P,N
2026-01-05T07:00:00,5.189,P,N
2026-01-05T08:00:00,11.725,P,N
2026-01-05T09:00:00,20.606,P,N
2026-01-05T10:00:00,26.144,P,N
2026-01-05T11:00:00,40.513,P,N
2026-01-05T12:00:00,49.044,P,N
2026-01-05T13:00:00,43.772,P,N
2026-01-05T14:00:00,37.386,P,N
2026-01-05T15:00:00,28.638,P,N
2026-01-05T16:00:00,18.111,P,N
2026-01-05T17:00:00,16.664,P,N
2026-01-05T18:00:00,5.338,P,N
2026-01-05T19:00:00,5.239,P,N
2026-01-05T20:00:00,5.987,P,N
2026-01-05T21:00:00,6.885,P,N
2026-01-05T22:00:00,3.742,P,N
2026-01-05T23:00:00,16.714,P,N
2026-01-06T00:00:00,9.180,P,N
2026-01-06T01:00:00,29.137,P,N
2026-01-06T02:00:00,40.064,P,N
2026-01-06T03:00:00,26.493,P,N
2026-01-06T04:00:00,20.007,P,N
2026-01-06T05:00:00,22.901,P,N
2026-01-06T06:00:00,15.217,P,N
2026-01-06T07:00:00,11.775,P,N
2026-01-06T08:00:00,16.864,P,N
2026-01-06T09:00:00,9.529,P,N
2026-01-06T10:00:00,27.042,P,N
2026-01-06T11:00:00,32.181,P,N
2026-01-06T12:00:00,35.573,P,N
2026-01-06T13:00:00,21.204,P,N
2026-01-06T14:00:00,30.035,P,N
2026-01-06T15:00:00,17.961,P,N
2026-01-06T16:00:00,16.614,P,N
2026-01-06T17:00:00,34.875,P,N
2026-01-06T18:00:00,39.315,P,N
2026-01-06T19:00:00,45.552,P,N
2026-01-06T20:00:00,48.496,P,N
2026-01-06T21:00:00,50.591,P,N
2026-01-06T22:00:00,62.166,P,N
2026-01-06T23:00:00,59.771,P,N
2026-01-07T00:00:00,59.073,P,N
2026-01-07T01:00:00,49.759,P,N
2026-01-07T02:00:00,49.493,P,N
2026-01-07T03:00:00,55.830,P,N
2026-01-07T04:00:00,58.025,P,N
2026-01-07T05:00:00,50.940,P,N
2026-01-07T06:00:00,37.968,P,N
2026-01-07T07:00:00,39.515,P,N
2026-01-07T08:00:00,44.055,P,N
2026-01-07T09:00:00,45.552,P,N
2026-01-07T10:00:00,47.148,P,N
2026-01-07T11:00:00,46.200,P,N
2026-01-07T12:00:00,48.545,P,N
2026-01-07T13:00:00,47.897,P,N
2026-01-07T14:00:00,57.177,P,N
2026-01-07T15:00:00,44.404,P,N
2026-01-07T16:00:00,39.714,P,N
2026-01-07T17:00:00,24.547,P,N
2026-01-07T18:00:00,23.799,P,N
2026-01-07T19:00:00,26.044,P,N
2026-01-07T20:00:00,26.393,P,N
2026-01-07T21:00:00,25.296,P,N
2026-01-07T22:00:00,22.651,P,N
