date,population,status,exceedance
2026-01-01T00:00:00,24.552,P,N
2026-01-01T01:00:00,10.943,P,N
2026-01-01T02:00:00,7.170,P,N
2026-01-01T03:00:00,5.873,P,N
2026-01-01T04:00:00,5.307,P,N
2026-01-01T05:00:00,3.184,P,N
2026-01-01T06:00:00,2.406,P,N
2026-01-01T07:00:00,2.217,P,N
2026-01-01T08:00:00,2.311,P,N
2026-01-01T09:00:00,2.359,P,N
2026-01-01T10:00:00,3.090,P,N
2026-01-01T11:00:00,4.764,P,N
2026-01-01T12:00:00,5.142,P,N
2026-01-01T13:00:00,4.646,P,N
2026-01-01T14:00:00,5.142,P,N
2026-01-01T15:00:00,4.340,P,N
2026-01-01T16:00:00,2.759,P,N
2026-01-01T17:00:00,3.491,P,N
2026-01-01T18:00:00,5.542,P,N
2026-01-01T19:00:00,4.741,P,N
2026-01-01T20:00:00,5.118,P,N
2026-01-01T21:00:00,5.401,P,N
2026-01-01T22:00:00,5.472,P,N
2026-01-01T23:00:00,4.953,P,N
2026-01-02T00:00:00,4.269,P,N
2026-01-02T01:00:00,2.335,P,N
2026-01-02T02:00:00,0.873,P,N
2026-01-02T03:00:00,0.967,P,N
2026-01-02T04:00:00,1.132,P,N
2026-01-02T05:00:00,1.627,P,N
2026-01-02T06:00:00,2.075,P,N
2026-01-02T07:00:00,3.325,P,N
2026-01-02T08:00:00,4.222,P,N
2026-01-02T09:00:00,4.929,P,N
2026-01-02T10:00:00,5.047,P,N
2026-01-02T11:00:00,4.198,P,N
2026-01-02T12:00:00,4.764,P,N
2026-01-02T13:00:00,4.481,P,N
2026-01-02T14:00:00,6.344,P,N
2026-01-02T15:00:00,7.217,P,N
2026-01-02T16:00:00,7.335,P,N
2026-01-02T17:00:00,6.297,P,N
2026-01-02T18:00:00,6.958,P,N
2026-01-02T19:00:00,7.311,P,N
2026-01-02T20:00:00,7.146,P,N
2026-01-02T21:00:00,6.297,P,N
2026-01-02T22:00:00,4.717,P,N
2026-01-02T23:00:00,3.939,P,N
2026-01-03T00:00:00,3.066,P,N
2026-01-03T01:00:00,3.160,P,N
2026-01-03T02:00:00,4.434,P,N
2026-01-03T03:00:00,3.208,P,N
2026-01-03T04:00:00,2.524,P,N
2026-01-03T05:00:00,1.981,P,N
2026-01-03T06:00:00,1.887,P,N
2026-01-03T07:00:00,2.193,P,N
2026-01-03T08:00:00,2.759,P,N
2026-01-03T09:00:00,2.948,P,N
2026-01-03T10:00:00,3.208,P,N
2026-01-03T11:00:00,4.623,P,N
2026-01-03T12:00:00,3.774,P,N
2026-01-03T13:00:00,4.151,P,N
2026-01-03T14:00:00,3.396,P,N
2026-01-03T15:00:00,2.877,P,N
2026-01-03T16:00:00,3.915,P,N
2026-01-03T17:00:00,5.189,P,N
2026-01-03T18:00:00,5.825,P,N
2026-01-03T19:00:00,7.429,P,N
2026-01-03T20:00:00,6.887,P,N
2026-01-03T21:00:00,6.981,P,N
2026-01-03T22:00:00,7.241,P,N
2026-01-03T23:00:00,6.722,P,N
2026-01-04T00:00:00,5.495,P,N
2026-01-04T01:00:00,4.764,P,N
2026-01-04T02:00:00,3.986,P,N
2026-01-04T03:00:00,3.703,P,N
2026-01-04T04:00:00,3.396,P,N
2026-01-04T05:00:00,3.420,P,N
2026-01-04T06:00:00,3.467,P,N
2026-01-04T07:00:00,3.090,P,N
2026-01-04T08:00:00,3.184,P,N
2026-01-04T09:00:00,3.042,P,N
2026-01-04T10:00:00,2.854,P,N
2026-01-04T11:00:00,3.514,P,N
2026-01-04T12:00:00,5.330,P,N
2026-01-04T13:00:00,3.042,P,N
2026-01-04T14:00:00,3.208,P,N
2026-01-04T15:00:00,3.868,P,N
2026-01-04T16:00:00,5.236,P,N
2026-01-04T17:00:00,7.476,P,N
2026-01-04T18:00:00,8.491,P,N
2026-01-04T19:00:00,10.920,P,N
2026-01-04T20:00:00,10.377,P,N
2026-01-04T21:00:00,10.920,P,N
2026-01-04T22:00:00,9.576,P,N
2026-01-04T23:00:00,7.170,P,N
2026-01-05T00:00:00,4.717,P,N
2026-01-05T01:00:00,4.245,P,N
2026-01-05T02:00:00,3.278,P,N
2026-01-05T03:00:00,4.788,P,N
2026-01-05T04:00:00,4.882,P,N
2026-01-05T05:00:00,3.420,P,N
2026-01-05T06:00:00,4.151,P,N
2026-01-05T07:00:00,5.259,P,N
2026-01-05T08:00:00,4.434,P,N
2026-01-05T09:00:00,5.637,P,N
2026-01-05T10:00:00,7.524,P,N
2026-01-05T11:00:00,7.311,P,N
2026-01-05T12:00:00,5.472,P,N
2026-01-05T13:00:00,4.670,P,N
2026-01-05T14:00:00,2.665,P,N
2026-01-05T15:00:00,3.160,P,N
2026-01-05T16:00:00,5.071,P,N
2026-01-05T17:00:00,6.038,P,N
2026-01-05T18:00:00,8.679,P,N
2026-01-05T19:00:00,9.929,P,N
2026-01-05T20:00:00,10.094,P,N
2026-01-05T21:00:00,7.665,P,N
2026-01-05T22:00:00,7.052,P,N
2026-01-05T23:00:00,4.788,P,N
2026-01-06T00:00:00,4.363,P,N
2026-01-06T01:00:00,3.797,P,N
2026-01-06T02:00:00,3.090,P,N
2026-01-06T03:00:00,3.892,P,N
2026-01-06T04:00:00,3.113,P,N
2026-01-06T05:00:00,3.514,P,N
2026-01-06T06:00:00,3.443,P,N
2026-01-06T07:00:00,4.434,P,N
2026-01-06T08:00:00,5.967,P,N
2026-01-06T09:00:00,8.892,P,N
2026-01-06T10:00:00,5.590,P,N
2026-01-06T11:00:00,5.802,P,N
2026-01-06T12:00:00,5.519,P,N
2026-01-06T13:00:00,7.877,P,N
2026-01-06T14:00:00,6.156,P,N
2026-01-06T15:00:00,8.090,P,N
2026-01-06T16:00:00,10.826,P,N
2026-01-06T17:00:00,7.146,P,N
2026-01-06T18:00:00,6.038,P,N
2026-01-06T19:00:00,4.976,P,N
2026-01-06T20:00:00,4.057,P,N
2026-01-06T21:00:00,4.481,P,N
2026-01-06T22:00:00,2.406,P,N
2026-01-06T23:00:00,3.467,P,N
2026-01-07T00:00:00,2.925,P,N
2026-01-07T01:00:00,3.325,P,N
2026-01-07T02:00:00,3.986,P,N
2026-01-07T03:00:00,4.057,P,N
2026-01-07T04:00:00,4.717,P,N
2026-01-07T05:00:00,4.741,P,N
2026-01-07T06:00:00,4.670,P,N
2026-01-07T07:00:00,4.835,P,N
2026-01-07T08:00:00,7.877,P,N
2026-01-07T09:00:00,5.566,P,N
2026-01-07T10:00:00,5.849,P,N
2026-01-07T11:00:00,7.052,P,N
2026-01-07T12:00:00,8.090,P,N
2026-01-07T13:00:00,7.807,P,N
2026-01-07T14:00:00,7.335,P,N
2026-01-07T15:00:00,7.453,P,N
2026-01-07T16:00:00,7.193,P,N
2026-01-07T17:00:00,6.887,P,N
2026-01-07T18:00:00,7.547,P,N
2026-01-07T19:00:00,8.208,P,N
2026-01-07T20:00:00,7.877,P,N
2026-01-07T21:00:00,7.382,P,N
2026-01-07T22:00:00,7.712,P,N
2026-01-07T23:00:00,7.689,P,N
2026-01-08T00:00:00,6.274,P,N
2026-01-08T01:00:00,5.118,P,N
2026-01-08T02:00:00,6.226,P,N
2026-01-08T03:00:00,8.231,P,N
2026-01-08T04:00:00,8.208,P,N
2026-01-08T05:00:00,9.458,P,N
2026-01-08T06:00:00,7.807,P,N
2026-01-08T07:00:00,6.226,P,N
2026-01-08T08:00:00,6.250,P,N
2026-01-08T09:00:00,10.212,P,N
2026-01-08T10:00:00,7.689,P,N
2026-01-08T11:00:00,10.307,P,N
2026-01-08T12:00:00,14.363,P,N
2026-01-08T13:00:00,10.094,P,N
2026-01-08T14:00:00,8.137,P,N
2026-01-08T15:00:00,7.736,P,N
2026-01-08T16:00:00,6.344,P,N
2026-01-08T17:00:00,5.354,P,N
2026-01-08T18:00:00,4.410,P,N
2026-01-08T19:00:00,3.137,P,N
2026-01-08T20:00:00,1.698,P,N
2026-01-08T21:00:00,1.462,P,N
2026-01-08T22:00:00,1.038,P,N
2026-01-08T23:00:00,0.684,P,N
