date,population,status,exceedance
2026-01-24T00:00:00,14.172,P,N
2026-01-24T01:00:00,8.557,P,N
2026-01-24T02:00:00,7.685,P,N
2026-01-24T03:00:00,7.413,P,N
2026-01-24T04:00:00,7.522,P,N
2026-01-24T05:00:00,6.922,P,N
2026-01-24T06:00:00,8.612,P,N
2026-01-24T07:00:00,9.920,P,N
2026-01-24T08:00:00,11.065,P,N
2026-01-24T09:00:00,16.624,P,N
2026-01-24T10:00:00,22.947,P,N
2026-01-24T11:00:00,23.438,P,N
2026-01-24T12:00:00,23.274,P,N
2026-01-24T13:00:00,24.037,P,N
2026-01-24T14:00:00,25.400,P,N
2026-01-24T15:00:00,19.350,P,N
2026-01-24T16:00:00,19.568,P,N
2026-01-24T17:00:00,29.706,P,N
2026-01-24T18:00:00,23.274,P,N
2026-01-24T19:00:00,25.345,P,N
2026-01-24T20:00:00,19.949,P,N
2026-01-24T21:00:00,19.077,P,N
2026-01-24T22:00:00,27.362,P,N
2026-01-24T23:00:00,15.752,P,N
2026-01-25T00:00:00,10.538,P,N
2026-01-25T01:00:00,11.283,P,N
2026-01-25T02:00:00,7.685,P,N
2026-01-25T03:00:00,14.390,P,N
2026-01-25T04:00:00,13.736,P,N
2026-01-25T05:00:00,14.063,P,N
2026-01-25T06:00:00,13.736,P,N
2026-01-25T07:00:00,20.385,P,N
2026-01-25T08:00:00,10.847,P,N
2026-01-25T09:00:00,14.880,P,N
2026-01-25T10:00:00,17.224,P,N
2026-01-25T11:00:00,17.824,P,N
2026-01-25T12:00:00,17.387,P,N
2026-01-25T13:00:00,17.224,P,N
2026-01-25T14:00:00,17.824,P,N
2026-01-25T15:00:00,17.987,P,N
2026-01-25T16:00:00,17.224,P,N
2026-01-25T17:00:00,16.406,P,N
2026-01-25T18:00:00,17.660,P,N
2026-01-25T19:00:00,18.750,P,N
2026-01-25T20:00:00,21.802,P,N
2026-01-25T21:00:00,23.329,P,N
2026-01-25T22:00:00,23.056,P,N
2026-01-25T23:00:00,18.042,P,N
2026-01-26T00:00:00,16.207,P,N
2026-01-26T01:00:00,13.954,P,N
2026-01-26T02:00:00,12.264,P,N
2026-01-26T03:00:00,11.010,P,N
2026-01-26T04:00:00,12.809,P,N
2026-01-26T05:00:00,17.715,P,N
2026-01-26T06:00:00,20.167,P,N
2026-01-26T07:00:00,26.327,P,N
2026-01-26T08:00:00,28.125,P,N
2026-01-26T09:00:00,31.614,P,N
2026-01-26T10:00:00,27.526,P,N
2026-01-26T11:00:00,27.253,P,N
2026-01-26T12:00:00,28.670,P,N
2026-01-26T13:00:00,28.943,P,N
2026-01-26T14:00:00,29.433,P,N
2026-01-26T15:00:00,34.939,P,N
2026-01-26T16:00:00,33.303,P,N
2026-01-26T17:00:00,33.521,P,N
2026-01-26T18:00:00,34.666,P,N
2026-01-26T19:00:00,31.396,P,N
2026-01-26T20:00:00,30.742,P,N
