date,population,status,exceedance
2026-01-24T00:00:00,4.575,P,N
2026-01-24T01:00:00,4.245,P,N
2026-01-24T02:00:00,4.151,P,N
2026-01-24T03:00:00,3.915,P,N
2026-01-24T04:00:00,4.009,P,N
2026-01-24T05:00:00,4.104,P,N
2026-01-24T06:00:00,4.151,P,N
2026-01-24T07:00:00,4.788,P,N
2026-01-24T08:00:00,5.472,P,N
2026-01-24T09:00:00,6.132,P,N
2026-01-24T10:00:00,6.557,P,N
2026-01-24T11:00:00,6.038,P,N
2026-01-24T12:00:00,6.321,P,N
2026-01-24T13:00:00,7.359,P,N
2026-01-24T14:00:00,5.637,P,N
2026-01-24T15:00:00,5.212,P,N
2026-01-24T16:00:00,5.094,P,N
2026-01-24T17:00:00,4.788,P,N
2026-01-24T18:00:00,5.708,P,N
2026-01-24T19:00:00,5.967,P,N
2026-01-24T20:00:00,6.368,P,N
2026-01-24T21:00:00,7.406,P,N
2026-01-24T22:00:00,5.896,P,N
2026-01-24T23:00:00,3.137,P,N
2026-01-25T00:00:00,2.170,P,N
2026-01-25T01:00:00,1.863,P,N
2026-01-25T02:00:00,1.156,P,N
2026-01-25T03:00:00,1.203,P,N
2026-01-25T04:00:00,2.948,P,N
2026-01-25T05:00:00,4.104,P,N
2026-01-25T06:00:00,4.245,P,N
2026-01-25T07:00:00,4.835,P,N
2026-01-25T08:00:00,4.528,P,N
2026-01-25T09:00:00,5.660,P,N
2026-01-25T10:00:00,6.651,P,N
2026-01-25T11:00:00,8.467,P,N
2026-01-25T12:00:00,7.241,P,N
2026-01-25T13:00:00,7.689,P,N
2026-01-25T14:00:00,10.330,P,N
2026-01-25T15:00:00,10.542,P,N
2026-01-25T16:00:00,13.443,P,N
2026-01-25T17:00:00,15.849,P,N
2026-01-25T18:00:00,15.495,P,N
2026-01-25T19:00:00,15.778,P,N
2026-01-25T20:00:00,19.434,P,N
2026-01-25T21:00:00,26.793,P,N
2026-01-25T22:00:00,28.679,P,N
2026-01-25T23:00:00,35.495,P,N
2026-01-26T00:00:00,37.594,P,N
2026-01-26T01:00:00,31.462,P,N
2026-01-26T02:00:00,29.528,P,N
2026-01-26T03:00:00,30.495,P,N
